,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg
1033,poultry mechanically deboned from backsnecks wskn raw,272.0,11.39,7.45,24.73,0.0,0.0,0.0,138.0,1.57,12.0,132.0,104.0,40.0,1.29,0.065,0.019,10.7,1.5,0.05,0.129,4.63,0.19,6.0,0.25,74.0,0.0,0.0
1034,poultry mechanically deboned from backsnecks woskn raw,199.0,13.79,4.71,15.48,0.0,0.0,0.0,123.0,1.73,13.0,154.0,128.0,51.0,1.82,0.069,0.02,14.4,3.0,0.071,0.175,6.246,0.32,9.0,0.35,32.0,0.0,0.0
1035,poultry mechanically deboned from mature hens raw,243.0,14.72,4.73,19.98,0.0,0.0,0.0,187.0,1.22,12.0,132.0,104.0,40.0,1.9,0.065,0.019,15.7,2.0,0.096,0.14,5.254,0.28,5.0,0.27,45.0,0.0,0.0
1047,duck yng duckling dom wh pekin brst meatskn bnless ckd rstd,202.0,24.5,2.922,10.85,0.0,0.0,0.0,8.0,3.26,0.0,0.0,0.0,84.0,0.0,0.0,0.0,26.4,2.8,0.0,0.0,7.855,0.0,0.0,0.0,0.0,0.0,0.0
1048,duck yng duckl dom wh pekin brst meat bnless ckd woskn brld,140.0,27.6,0.578,2.5,0.0,0.0,0.0,9.0,4.49,0.0,0.0,0.0,105.0,0.0,0.0,0.0,29.0,3.2,0.0,0.0,10.35,0.0,0.0,0.0,0.0,0.0,0.0
1049,duck yng duckling dom wh pekin leg meatskn bone in ckd rstd,217.0,26.75,2.975,11.4,0.0,0.0,0.0,10.0,2.08,0.0,0.0,0.0,110.0,0.0,0.0,0.0,21.8,1.5,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0
1050,duck yng duckl dom wh pekin leg meat bone in ckd woskn brsd,178.0,29.1,1.339,5.96,0.0,0.0,0.0,10.0,2.33,0.0,0.0,0.0,108.0,0.0,0.0,0.0,21.6,2.3,0.0,0.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0
1060,chick feet boiled,215.0,19.4,3.92,14.6,0.2,0.0,0.0,88.0,0.91,5.0,83.0,31.0,67.0,0.69,0.102,0.0,3.6,0.0,0.06,0.2,0.4,0.01,86.0,0.47,30.0,0.27,0.2
1129,chicken skn (drumsticks  thighs) raw,440.0,9.58,12.102,44.23,0.79,0.0,0.0,6.0,0.37,8.0,95.0,119.0,51.0,0.65,0.038,0.0139999999999999,10.1,0.0,0.04,0.032,2.565,0.1159999999999999,2.0,0.65,59.0,0.27,0.2
1139,chicken skn (drumsticks  thighs) w added soln ckd brsd,403.0,12.26,10.605,38.94,1.0,0.0,0.0,14.0,0.65,12.0,112.0,146.0,139.0,0.63,0.0289999999999999,0.016,15.6,0.0,0.05,0.04,3.3,0.144,2.0,0.27,44.0,0.18,0.1
1140,chicken skn (drumsticks  thighs) w added soln raw,386.0,11.11,10.565,37.9,0.01,0.0,0.0,7.0,0.51,7.0,88.0,101.0,139.0,0.62,0.03,0.006,10.8,0.0,0.035,0.06,2.655,0.113,2.0,0.68,56.0,0.44,0.4
1153,turkey skn from whl (light  dark) w added soln raw,381.0,12.29,10.43,36.8,0.21,0.0,0.1,13.0,0.57,9.0,99.0,107.0,138.0,0.82,0.046,0.008,10.1,0.0,0.016,0.095,3.26,0.16,4.0,0.88,85.0,0.09,1.1
1169,turkey skn from rtl parts from dk meat raw,380.0,14.35,10.216,35.83,0.0,0.0,0.0,4.0,0.76,7.0,80.0,93.0,78.0,0.88,0.0409999999999999,0.003,11.2,0.0,0.026,0.08,2.745,0.114,5.0,1.95,79.0,0.08,0.7
1485,campbell's lo na soups chick broth,10.0,1.01,0.168,0.34,0.34,0.0,0.34,0.0,0.0,0.0,0.0,77.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1494,campbell's lo na soups crm of mushroom soup,54.0,1.01,0.8390000000000001,2.68,6.38,0.0,2.01,13.0,0.0,0.0,0.0,57.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543,smart soup santa fe corn chowder,55.0,2.0,0.0,0.71,11.2,2.0,3.6,23.0,1.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,smart soup french lentil,53.0,2.9,0.0,1.06,9.5,2.9,2.6,23.0,1.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1545,smart soup greek minestrone,40.0,1.7,0.0,0.53,8.4,2.7,2.7,21.0,1.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546,smart soup indian bean masala,57.0,3.3,0.18,0.88,10.5,2.6,2.3,22.0,1.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1587,soup tomato lo na wh2o,30.0,0.79,0.076,0.28,6.57,0.6,3.97,8.0,0.54,7.0,14.0,112.0,33.0,0.12,0.083,0.0579999999999999,2.5,6.3,0.019,0.031,0.505,0.042,0.0,0.0,10.0,0.17,0.0
1588,soup pea lo na prep w eq volume h2o,62.0,3.2,0.524,1.09,9.88,1.9,3.19,12.0,0.73,15.0,47.0,71.0,10.0,0.64,0.146,0.0,3.6,0.6,0.04,0.025,0.462,0.02,1.0,0.0,3.0,0.09,0.0
1591,soup crm of mushroom lo na rts cnd,53.0,1.0,1.005,3.7,4.53,0.2,1.72,19.0,0.21,2.0,20.0,41.0,20.0,0.24,0.051,0.0,0.6,0.4,0.02,0.04,0.3,0.01,5.0,0.02,7.0,0.37,0.0
1593,soup chick broth lo na cnd,16.0,2.0,0.179,0.6,1.2,0.0,0.13,4.0,0.21,1.0,30.0,86.0,30.0,0.1,0.051,0.0,0.0,0.0,0.0,0.03,1.37,0.01,0.0,0.1,0.0,0.0,0.0
1598,gravy meat or poultry lo na prep,53.0,3.8,1.003,2.4,6.16,0.3,0.01,6.0,0.7,2.0,30.0,81.0,18.0,1.0,0.1,0.0,0.6,0.0,0.03,0.04,0.66,0.01,25.0,0.1,0.0,0.06,0.0
1599,soup bf  mushroom lo na chunk style,69.0,4.3,1.621,2.3,9.58,0.2,0.84,13.0,0.97,2.0,50.0,140.0,25.0,1.1,0.1,0.0,2.2,3.0,0.04,0.11,1.13,0.06,5.0,0.26,98.0,0.22,0.0
1814,cereals rte quaker quaker puffed rice,383.0,7.01,0.325,0.9,87.78,1.4,0.0,9.0,2.86,30.0,118.0,116.0,5.0,1.1,0.239,0.0,10.5,0.0,0.441,0.265,3.525,0.0,4.0,0.0,0.0,0.1,0.0
1830,cereals corn grits white reg  quick enr dry,370.0,7.65,0.34,1.75,79.09,4.6,0.57,4.0,3.05,36.0,111.0,141.0,1.0,0.72,0.03,0.145,17.0,0.0,1.271,0.3389999999999999,4.465,0.233,39.0,0.0,0.0,0.21,0.0
1831,cereals corn grits white reg  quick enr ckd w h2o wo salt,71.0,1.71,0.066,0.46,14.76,0.8,0.12,1.0,0.57,7.0,20.0,27.0,2.0,0.18,0.0,0.037,3.1,0.0,0.086,0.0579999999999999,0.799,0.046,14.0,0.0,0.0,0.03,0.0
1836,cereals crm of rice dry,370.0,6.3,0.136,0.5,82.4,0.7,0.3,5.0,28.44,23.0,124.0,143.0,6.0,1.12,0.244,1.033,19.0,0.0,0.51,0.13,7.46,0.195,29.0,0.0,0.0,0.11,0.0
1837,cereals crm of rice ckd wh2o wosalt,52.0,0.9,0.027,0.1,11.4,0.1,0.04,1.0,3.96,3.0,17.0,20.0,1.0,0.16,0.034,0.144,3.0,0.0,0.071,0.018,1.039,0.027,3.0,0.0,0.0,0.02,0.0
1838,cereals crm of wheat reg 10 minute cooking dry,370.0,10.5,0.238,1.5,76.5,3.8,0.2,606.0,28.6,27.0,115.0,120.0,7.0,0.88,0.206,0.0,20.0,0.0,0.5,0.2,4.2,0.108,34.0,0.0,0.0,0.11,0.0
1839,cereals crm of wheat reg (10 minute) ckd w h2o wo salt,50.0,1.44,0.033,0.21,10.52,0.5,0.03,87.0,3.74,5.0,15.0,16.0,6.0,0.13,0.04,0.0,2.8,0.0,0.055,0.025,0.52,0.013,3.0,0.0,0.0,0.02,0.0
1841,cereals farina enr assorted brands quick ckd w h2o wo salt,55.0,1.82,0.066,0.34,10.92,0.8,0.76,97.0,5.33,7.0,37.0,23.0,18.0,0.23,0.0409999999999999,0.196,12.8,0.0,0.126,0.065,1.493,0.096,17.0,0.0,0.0,0.04,0.0
1843,cereals cream of wheat inst prep w h2o wo salt,62.0,1.84,0.038,0.24,13.08,0.6,0.07,64.0,4.96,6.0,18.0,20.0,102.0,0.17,0.043,0.0,3.5,0.0,0.2319999999999999,0.21,3.093,0.309,6.0,0.0,232.0,0.02,0.0
1844,cereals farina enr ckd w h2o wo salt,53.0,1.82,0.066,0.34,10.92,0.8,0.76,97.0,5.33,7.0,37.0,23.0,18.0,0.23,0.0409999999999999,0.196,3.0,0.0,0.126,0.065,1.493,0.096,17.0,0.0,0.0,0.04,0.0
1845,cereals malt-o-meal original pln dry,365.0,11.8,0.08,0.7,77.25,2.1,0.0,286.0,30.86,16.0,157.0,100.0,0.0,0.57,0.105,0.0,24.9,0.0,1.07,0.73,14.28,1.13,19.0,0.0,0.0,0.11,0.0
1847,cereals oats reg  quick unenr ckd w h2o wo salt,71.0,2.54,0.31,1.52,12.0,1.7,0.27,9.0,0.9,27.0,77.0,70.0,4.0,1.0,0.074,0.58,5.4,0.0,0.076,0.016,0.225,0.005,6.0,0.0,0.0,0.08,0.0
1849,cereals oats inst fort pln prep w h2o,68.0,2.37,0.226,1.36,11.67,1.7,0.46,80.0,5.96,26.0,77.0,61.0,49.0,0.62,0.066,0.5579999999999999,5.0,0.0,0.26,0.215,3.025,0.29,5.0,0.0,130.0,0.07,0.0
1852,cereals oats inst fort w cinn  spice prep w h2o,96.0,2.37,0.191,1.21,18.95,2.0,6.31,61.0,2.11,24.0,80.0,71.0,111.0,0.57,0.0819999999999999,0.643,1.6,0.0,0.168,0.177,2.155,0.22,4.0,0.0,110.0,0.12,0.0
1855,cereals oats inst fort w raisins  spice prep w h2o,88.0,1.98,0.15,0.95,17.91,1.3,8.71,56.0,2.21,19.0,64.0,85.0,111.0,0.42,0.074,0.466,1.6,0.1,0.179,0.152,2.343,0.253,5.0,0.0,138.0,0.09,0.0
1858,cereals wheatena ckd w h2o,56.0,2.0,0.075,0.5,11.8,2.7,0.0,80.0,0.56,20.0,60.0,77.0,2.0,0.69,0.052,0.8220000000000001,0.0,0.0,0.01,0.02,0.55,0.019,7.0,0.0,0.0,0.0,0.0
1860,cereals whl wheat hot nat crl ckd w h2o wo salt,62.0,2.0,0.06,0.4,13.7,1.6,0.08,7.0,0.62,22.0,69.0,71.0,0.0,0.48,0.083,0.0,12.8,0.0,0.07,0.05,0.89,0.073,14.0,0.0,0.0,0.24,0.0
1864,cereals rte rice puffed fort,402.0,6.3,0.13,0.5,89.8,1.7,0.0,6.0,31.7,25.0,98.0,113.0,3.0,1.03,0.1689999999999999,1.5,10.5,0.0,2.6,1.8,35.3,0.075,19.0,0.0,0.0,0.0,0.0
1866,cereals corn grits yel reg  quick enr dry,368.0,6.72,0.29,1.49,79.91,3.9,0.55,4.0,2.9,28.0,76.0,118.0,2.0,0.6,0.03,0.132,17.0,0.0,0.675,0.324,4.255,0.131,50.0,0.0,6.0,0.16,0.0
1867,cereals corn grits yel reg  quick unenr dry,371.0,8.8,0.155,1.2,79.6,1.6,0.64,2.0,1.0,27.0,73.0,137.0,1.0,0.41,0.075,0.106,17.0,0.0,0.13,0.04,1.2,0.147,5.0,0.0,11.0,0.0,0.0
1869,cereals corn grits yel reg  quick enr ckd w h2o wo salt,65.0,1.23,0.06,0.39,13.86,0.7,0.09,1.0,0.57,5.0,14.0,22.0,2.0,0.14,0.0,0.037,2.7,0.0,0.103,0.0579999999999999,0.762,0.035,13.0,0.0,0.0,0.02,0.0
1872,cereals crm of wheat reg (10 minute) ckd w h2o w salt,50.0,1.46,0.033,0.21,10.66,0.5,0.03,89.0,3.99,5.0,16.0,17.0,129.0,0.13,0.0409999999999999,0.001,2.8,0.0,0.07,0.0279999999999999,0.585,0.015,5.0,0.0,0.0,0.02,0.0
1873,cereals farina unenr dry,369.0,10.6,0.08,0.5,78.0,1.9,0.0,14.0,1.5,13.0,88.0,94.0,3.0,0.53,0.079,0.693,23.5,0.0,0.06,0.1,0.7,0.0579999999999999,24.0,0.0,0.0,0.11,0.0
1874,cereals farina enr ckd w h2o w salt,53.0,1.82,0.066,0.34,10.92,0.8,0.76,97.0,5.33,7.0,37.0,23.0,126.0,0.23,0.0409999999999999,0.196,3.0,0.0,0.126,0.065,1.493,0.096,17.0,0.0,0.0,0.04,0.0
1876,cereals oats reg  quick  inst unenr ckd w h2o w salt,71.0,2.54,0.31,1.52,12.0,1.7,0.27,9.0,0.9,27.0,77.0,70.0,71.0,1.0,0.074,0.58,5.4,0.0,0.076,0.016,0.225,0.005,6.0,0.0,0.0,0.08,0.0
1898,cereals qkr oat bran prep wh2o no salt,43.0,2.03,0.17,0.95,7.49,1.7,0.0,11.0,0.97,30.0,83.0,69.0,3.0,0.53,0.0409999999999999,0.679,0.0,0.0,0.115,0.036,0.096,0.013,5.0,0.0,1.0,0.0,0.0
1900,cereals oat bran qkr qkrmother's oat bran prep wh2o salt,43.0,2.03,0.17,0.95,7.49,1.7,0.0,11.0,0.97,30.0,82.0,69.0,46.0,0.53,0.0409999999999999,0.6779999999999999,0.0,0.0,0.115,0.036,0.095,0.013,5.0,0.0,1.0,0.0,0.0
1905,cereals quaker quaker multigrain oatmeal prep wh2o no salt,61.0,2.08,0.096,0.47,13.49,2.2,0.0,8.0,0.56,22.0,64.0,75.0,3.0,0.61,0.086,0.482,0.0,0.0,0.053,0.024,0.6559999999999999,0.044,1.0,0.0,0.0,0.0,0.0
1906,cereals quaker quaker multigrain oatmeal prep wh2o salt,61.0,2.07,0.095,0.47,13.47,2.2,0.0,8.0,0.56,22.0,63.0,75.0,70.0,0.61,0.086,0.481,0.0,0.0,0.053,0.024,0.655,0.044,1.0,0.0,0.0,0.0,0.0
1925,cereals quaker hominy grits white quick dry,348.0,8.8,0.16,1.2,79.6,4.8,0.3,2.0,4.42,27.0,73.0,137.0,1.0,0.41,0.0,0.0,0.0,0.0,0.61,0.36,5.32,0.15,0.0,0.0,0.0,0.12,0.0
1926,cereals quaker hominy grits white reg dry,361.0,8.8,0.15,1.6,79.2,1.6,0.64,2.0,4.42,27.0,73.0,137.0,1.0,0.41,0.0,0.0,0.0,0.0,0.61,0.36,5.32,0.15,0.0,0.0,0.0,0.12,0.0
1975,cereals malt-o-meal farina hot wheat crl dry,365.0,10.48,0.07,0.49,77.2,2.9,0.7,377.0,40.93,13.0,109.0,93.0,3.0,0.51,0.0,0.0,0.0,0.0,1.22,1.07,19.77,2.0,0.0,0.0,0.0,0.0,0.0
1976,cereals malt-o-meal maple  brown sugar hot wheat crl dry,368.0,8.82,0.09,0.47,80.52,1.8,28.0,318.0,31.29,15.0,125.0,130.0,5.0,0.5,0.0,0.0,0.0,1.0,1.05,0.93,17.12,1.74,19.0,0.0,0.0,0.03,0.0
1990,cereals malt-o-meal original pln prep w h2o wo salt,48.0,1.67,0.01,0.09,10.09,0.3,0.13,37.0,5.19,2.0,22.0,14.0,0.0,0.07,0.0,0.0,0.0,0.0,0.14,0.1,1.87,0.15,0.0,0.0,0.0,0.01,0.0
1991,cereals malt-o-meal choc prep w h2o wo salt,47.0,1.37,0.03,0.1,9.22,0.4,2.17,49.0,5.59,4.0,16.0,32.0,1.0,0.2,0.0,0.0,0.0,0.0,0.15,0.15,2.65,0.27,0.0,0.0,0.0,0.27,0.0
2013,cereals crm of wht 2 12 min ck ckd wh2o stove-top wosalt,56.0,1.44,0.051,0.2,11.74,0.7,0.07,104.0,4.09,7.0,47.0,23.0,34.0,0.22,0.036,0.188,0.0,0.0,0.093,0.067,0.8029999999999999,0.031,14.0,0.0,0.0,0.04,0.0
2014,cereals crm of wht 2 12 min cook time ckd wh2o mw wo salt,52.0,1.88,0.099,0.37,10.1,0.7,0.34,131.0,4.98,8.0,57.0,26.0,45.0,0.26,0.052,0.226,0.0,0.0,0.087,0.045,0.715,0.033,12.0,0.0,0.0,0.06,0.0
2016,cereals crm of wheat 1 minute ckd w h2o stove-top wo salt,56.0,1.65,0.106,0.42,11.16,0.4,0.07,125.0,4.7,8.0,27.0,23.0,4.0,0.26,0.042,0.2269999999999999,0.0,0.0,0.055,0.022,0.8420000000000001,0.033,12.0,0.0,0.0,0.03,0.0
2017,cereals crm of wheat 1 minute ckd w h2o microwaved wo salt,55.0,1.95,0.094,0.37,10.67,1.5,2.98,126.0,4.88,8.0,28.0,23.0,4.0,0.25,0.044,0.236,0.0,0.0,0.0969999999999999,0.037,0.82,0.02,14.0,0.0,0.0,0.04,0.0
2119,acerola (west indian cherry) raw,32.0,0.4,0.068,0.3,7.69,1.1,0.0,12.0,0.2,18.0,11.0,146.0,7.0,0.1,0.086,0.0,0.6,1677.6,0.02,0.06,0.4,0.009,14.0,0.0,38.0,0.0,0.0
2120,acerola juice raw,23.0,0.4,0.068,0.3,4.8,0.3,4.5,10.0,0.5,12.0,9.0,97.0,3.0,0.1,0.086,0.0,0.1,1600.0,0.02,0.06,0.4,0.004,14.0,0.0,25.0,0.18,0.0
2121,apples raw with skin,52.0,0.26,0.0279999999999999,0.17,13.81,2.4,10.39,6.0,0.12,5.0,11.0,107.0,1.0,0.04,0.027,0.035,0.0,4.6,0.017,0.026,0.091,0.0409999999999999,3.0,0.0,3.0,0.18,0.0
2122,apples raw without skin,48.0,0.27,0.021,0.13,12.76,1.3,10.1,5.0,0.07,4.0,11.0,90.0,0.0,0.05,0.031,0.038,0.0,4.0,0.019,0.0279999999999999,0.091,0.037,0.0,0.0,2.0,0.05,0.0
2123,apples raw woskn ckd bld,53.0,0.26,0.0579999999999999,0.36,13.64,2.4,11.01,5.0,0.19,3.0,8.0,88.0,1.0,0.04,0.035,0.118,0.3,0.2,0.016,0.012,0.095,0.044,1.0,0.0,2.0,0.05,0.0
2124,apples raw wo skn ckd microwave,56.0,0.28,0.068,0.42,14.41,2.8,11.61,5.0,0.17,3.0,8.0,93.0,1.0,0.04,0.046,0.142,0.3,0.3,0.017,0.011,0.061,0.046,1.0,0.0,2.0,0.05,0.0
2125,apples cnd swtnd sliced drnd unhtd,67.0,0.18,0.08,0.49,16.7,1.7,15.0,4.0,0.23,2.0,5.0,68.0,3.0,0.03,0.053,0.153,0.3,0.4,0.009,0.01,0.073,0.044,0.0,0.0,3.0,0.21,0.0
2126,apples cnd swtnd sliced drnd htd,67.0,0.18,0.07,0.43,16.84,2.0,14.84,4.0,0.24,3.0,6.0,70.0,3.0,0.05,0.051,0.165,0.3,0.2,0.009,0.01,0.081,0.044,0.0,0.0,3.0,0.21,0.0
2128,apples dehyd (lo moist) sulfured stwd,74.0,0.28,0.02,0.12,19.91,2.6,0.0,4.0,0.43,5.0,12.0,136.0,26.0,0.06,0.0579999999999999,0.027,0.4,0.6,0.008,0.0289999999999999,0.14,0.054,0.0,0.0,1.0,0.0,0.0
2130,apples dried sulfured stwd wo sugar,57.0,0.22,0.012,0.07,15.32,2.0,13.32,3.0,0.33,4.0,9.0,105.0,20.0,0.05,0.044,0.021,0.3,1.0,0.006,0.019,0.129,0.05,0.0,0.0,1.0,0.12,0.0
2131,apples dried sulfured stwd w sugar,83.0,0.2,0.011,0.07,20.73,1.9,0.0,3.0,0.31,3.0,8.0,98.0,19.0,0.04,0.042,0.02,0.0,0.9,0.006,0.018,0.121,0.047,0.0,0.0,1.0,0.0,0.0
2132,apples frz unswtnd unhtd,48.0,0.28,0.053,0.32,12.31,1.3,10.1,4.0,0.18,3.0,8.0,77.0,3.0,0.05,0.0579999999999999,0.1689999999999999,0.2,0.1,0.013,0.011,0.042,0.034,1.0,0.0,0.0,0.0,0.0
2133,apples frz unswtnd htd,47.0,0.29,0.053,0.33,12.0,1.3,0.0,5.0,0.19,3.0,8.0,76.0,3.0,0.05,0.065,0.146,0.2,0.4,0.0139999999999999,0.011,0.043,0.032,1.0,0.0,0.0,0.0,0.0
2134,apple juc cnd or btld unswtnd wo added vit c,46.0,0.1,0.022,0.13,11.3,0.2,9.62,8.0,0.12,5.0,7.0,101.0,4.0,0.02,0.012,0.074,0.1,0.9,0.021,0.017,0.073,0.018,0.0,0.0,0.0,0.01,0.0
2136,apple juc frz conc unswtnd dil w3 volume h2o wo vit c,47.0,0.14,0.018,0.1,11.54,0.1,10.93,6.0,0.26,5.0,7.0,126.0,7.0,0.04,0.0139999999999999,0.063,0.1,0.6,0.003,0.015,0.038,0.033,0.0,0.0,0.0,0.01,0.0
2137,applesauce cnd unswtnd woadded vit c (includes usda commod),42.0,0.17,0.008,0.1,11.27,1.1,9.39,4.0,0.23,3.0,5.0,74.0,2.0,0.03,0.027,0.025,0.3,1.0,0.026,0.03,0.084,0.027,3.0,0.0,1.0,0.16,0.0
2138,applesauce cnd swtnd wo salt (includes usda commodity),68.0,0.16,0.03,0.17,17.49,1.2,14.67,3.0,0.12,3.0,6.0,75.0,2.0,0.03,0.032,0.03,0.3,1.7,0.017,0.022,0.072,0.027,1.0,0.0,0.0,0.18,0.0
2143,apricots cnd ex lt syrup pk wskn solliquids,49.0,0.6,0.0069999999999999,0.1,12.5,1.6,0.0,10.0,0.3,6.0,12.0,140.0,2.0,0.08,0.04,0.052,0.0,4.0,0.02,0.02,0.6,0.054,2.0,0.0,64.0,0.0,0.0
2144,apricots cnd lt syrup pk wskn solliquids,63.0,0.53,0.003,0.05,16.49,1.6,14.89,11.0,0.39,8.0,13.0,138.0,4.0,0.11,0.079,0.052,0.1,2.7,0.016,0.02,0.304,0.054,2.0,0.0,66.0,0.6,0.0
2145,apricots cnd hvy syrup pk wskn solliquids,83.0,0.53,0.005,0.08,21.47,1.6,19.87,9.0,0.3,7.0,12.0,140.0,4.0,0.11,0.078,0.051,0.1,3.1,0.02,0.022,0.376,0.054,2.0,0.0,62.0,0.6,0.0
2146,apricots cnd hvy syrup pk woskn solliquids,83.0,0.51,0.006,0.09,21.45,1.6,0.0,9.0,0.43,8.0,13.0,134.0,11.0,0.1,0.065,0.051,0.0,2.8,0.019,0.023,0.416,0.054,2.0,0.0,62.0,0.0,0.0
2147,apricots cnd ex hvy syrup pk woskn solliquids,96.0,0.55,0.003,0.04,24.85,1.6,0.0,8.0,0.62,8.0,15.0,126.0,13.0,0.1,0.064,0.05,0.0,2.4,0.016,0.022,0.34,0.054,2.0,0.0,74.0,0.0,0.0
2154,apricot nectar cnd wo vit c,56.0,0.37,0.006,0.09,14.39,0.6,13.79,7.0,0.38,5.0,9.0,114.0,3.0,0.09,0.073,0.032,0.0,0.6,0.009,0.0139999999999999,0.26,0.022,1.0,0.0,66.0,0.31,0.0
2161,blackberry juc cnd,38.0,0.3,0.018,0.6,7.8,0.1,7.7,12.0,0.48,21.0,12.0,135.0,1.0,0.41,0.114,0.0,0.3,11.3,0.012,0.018,0.446,0.021,10.0,0.0,6.0,0.9,0.0
2163,blackberries cnd hvy syrup solliquids,92.0,1.31,0.005,0.14,23.1,3.4,19.7,21.0,0.65,17.0,14.0,99.0,3.0,0.18,0.133,0.6970000000000001,0.3,2.8,0.027,0.039,0.287,0.036,27.0,0.0,11.0,0.78,0.0
2164,blackberries frz unswtnd,64.0,1.18,0.015,0.43,15.67,5.0,10.67,29.0,0.8,22.0,30.0,140.0,1.0,0.25,0.12,1.223,0.4,3.1,0.0289999999999999,0.046,1.207,0.061,34.0,0.0,6.0,1.17,0.0
2165,blueberries raw,57.0,0.74,0.0279999999999999,0.33,14.49,2.4,9.96,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.336,0.1,9.7,0.037,0.0409999999999999,0.418,0.052,6.0,0.0,3.0,0.57,0.0
2166,blueberries cnd hvy syrup solliquids,88.0,0.65,0.027,0.33,22.06,1.6,20.46,5.0,0.33,4.0,10.0,40.0,3.0,0.07,0.053,0.203,0.1,1.1,0.034,0.053,0.113,0.036,2.0,0.0,2.0,0.38,0.0
2167,blueberries wild frz,57.0,0.0,0.03,0.16,13.85,4.4,0.0,17.0,0.58,7.0,13.0,68.0,3.0,0.67,0.0,2.87,0.0,1.7,0.03,0.0069999999999999,0.61,0.02,0.0,0.0,3.0,0.26,0.0
2168,blueberries frz unswtnd,51.0,0.42,0.053,0.64,12.17,2.7,8.45,8.0,0.18,5.0,11.0,54.0,1.0,0.07,0.033,0.147,0.1,2.5,0.032,0.037,0.52,0.059,7.0,0.0,2.0,0.48,0.0
2169,blueberries frz swtnd,85.0,0.4,0.011,0.13,21.95,2.2,19.72,6.0,0.39,2.0,7.0,60.0,1.0,0.06,0.039,0.262,0.2,1.0,0.02,0.052,0.253,0.059,7.0,0.0,2.0,0.52,0.0
2170,boysenberries cnd hvy syrup,88.0,0.99,0.004,0.12,22.31,2.6,0.0,18.0,0.43,11.0,10.0,90.0,3.0,0.19,0.07,0.25,0.4,6.2,0.026,0.0289999999999999,0.23,0.038,34.0,0.0,2.0,0.0,0.0
2171,boysenberries frz unswtnd,50.0,1.1,0.009,0.26,12.19,5.3,6.89,27.0,0.85,16.0,27.0,139.0,1.0,0.22,0.08,0.547,0.2,3.1,0.053,0.037,0.767,0.0559999999999999,63.0,0.0,3.0,0.87,0.0
2173,carambola (starfruit) raw,31.0,1.04,0.019,0.33,6.73,2.8,3.98,3.0,0.08,10.0,12.0,133.0,2.0,0.12,0.1369999999999999,0.037,0.6,34.4,0.0139999999999999,0.016,0.367,0.017,12.0,0.0,3.0,0.15,0.0
2177,cherries sour red cnd h2o pk solliquids (incl usda cmdty),36.0,0.77,0.023,0.1,8.94,1.1,7.6,11.0,1.37,6.0,10.0,98.0,7.0,0.07,0.07,0.076,0.0,2.1,0.017,0.0409999999999999,0.177,0.044,8.0,0.0,38.0,0.23,0.0
2178,cherries sour red cnd lt syrup pk solliquids,75.0,0.74,0.022,0.1,19.3,0.8,0.0,10.0,1.32,6.0,10.0,95.0,7.0,0.07,0.068,0.073,0.0,2.0,0.016,0.039,0.17,0.044,8.0,0.0,36.0,0.0,0.0
2179,cherries sour red cnd hvy syrup pk solliquids,91.0,0.73,0.021,0.1,23.27,1.1,22.17,10.0,1.3,6.0,10.0,93.0,7.0,0.06,0.066,0.072,0.0,2.0,0.016,0.039,0.168,0.044,8.0,0.0,36.0,0.23,0.0
2180,cherries sour red cnd ex hvy syrup pk solliquids,114.0,0.71,0.021,0.09,29.23,0.8,0.0,10.0,1.26,5.0,9.0,91.0,7.0,0.06,0.065,0.07,0.0,1.9,0.016,0.038,0.163,0.044,7.0,0.0,35.0,0.0,0.0
2181,cherries sour red frz unswtnd,46.0,0.92,0.1,0.44,11.02,1.6,9.02,13.0,0.53,9.0,16.0,124.0,1.0,0.1,0.09,0.057,0.0,1.7,0.044,0.034,0.1369999999999999,0.067,5.0,0.0,44.0,0.05,0.0
